# $\sigma_8$ $n_\mathrm{s}$ $h$ $\Omega_\mathrm{b}$ $\Omega_\mathrm{m}$ $\zeta_\mathrm{UV}$
8.760936747491360199e-01 9.945092803984880714e-01 6.535261108353733750e-01 4.729100320488214410e-02 2.623912747204303897e-01 2.841053815558552742e+01
8.174129216372967299e-01 9.310255286097527394e-01 6.873416903987527027e-01 5.206497590988874713e-02 3.346608443558216073e-01 2.396135946735739708e+01
7.753586852550506947e-01 9.799792643636464629e-01 6.334882438182830589e-01 4.093363981693982911e-02 3.720121246576309493e-01 2.117636307608336210e+01
8.368390637636184959e-01 9.558705101907253310e-01 7.048016677796840046e-01 5.600065503269433670e-02 3.047614401578903065e-01 3.265690262895077467e+01
8.576343554258346602e-01 9.629197060316800894e-01 6.761227362975478217e-01 5.870319988578558135e-02 2.891151402890682065e-01 2.969047318212687969e+01
7.589566516876220525e-01 9.413889260590077024e-01 6.649210817739367174e-01 4.315278846770524701e-02 3.963767634332180378e-01 2.617868027649819851e+01
7.981887321174144789e-01 9.877622292190790798e-01 7.167860599607228655e-01 5.451380271464586341e-02 3.590596243739128113e-01 2.369048595894128084e+01
8.996721647679806200e-01 9.268564468622207952e-01 6.230856472998856921e-01 4.992050137370825091e-02 2.467790398001670771e-01 3.423341084737330675e+01
8.895376515388488947e-01 9.702161255478859436e-01 7.260218907520175069e-01 4.421154279261827608e-02 3.276306329667568185e-01 3.185423167422413826e+01
7.882060474157333019e-01 9.542469049245119184e-01 6.173361444100737838e-01 5.897149290889501516e-02 2.753610466420650660e-01 2.037323435768485069e+01
7.490223477780818540e-01 9.953711657226085308e-01 6.818429601937532336e-01 4.775637056678533332e-02 3.180440911650657676e-01 2.479513689409941435e+01
8.475296072661876456e-01 9.387769474834204431e-01 6.556559362262487367e-01 5.284842569380998611e-02 3.652947971224784762e-01 2.924477334599941969e+01
8.267442266643046933e-01 9.823545779287815582e-01 6.279731163755059020e-01 5.061460476368665612e-02 3.809069176018238245e-01 3.316334913484752178e+01
7.654144512116909382e-01 9.233383303135633824e-01 7.142718740180135084e-01 4.506844077259301862e-02 2.936452730000019273e-01 2.261996648274362087e+01
8.074401623010635243e-01 9.668870401382446689e-01 6.440265898406505318e-01 5.636646125465631652e-02 2.509964460134506137e-01 2.722125471103936434e+01
8.659492552280425581e-01 9.484957949072122529e-01 6.928275388479232522e-01 4.173834484070539780e-02 3.432770472764968828e-01 3.073350538033992052e+01
8.638012084364891097e-01 9.682088573276996790e-01 6.132733821868896484e-01 5.393778208643197625e-02 3.059170189499855197e-01 2.230930433142930269e+01
8.027913346886634827e-01 9.473079609125852896e-01 7.294696472585201485e-01 4.916838716715574154e-02 3.786376932263374462e-01 3.379717145580798388e+01
7.645164050161838976e-01 9.836788266897201760e-01 6.588581313565373687e-01 5.787327062338590289e-02 3.360077063739299597e-01 3.107059354893863201e+01
8.233453972637653218e-01 9.221529278904200266e-01 6.775565520301460865e-01 4.281083289533853253e-02 2.682681469619274117e-01 2.661409444175660610e+01
8.422559519112110538e-01 9.992155465483665289e-01 7.108681090921162848e-01 4.002529021352529276e-02 2.426205873489379883e-01 2.079144507180899382e+01
7.412491275370121091e-01 9.351116771250963522e-01 6.320504803210497125e-01 5.558088947087526377e-02 3.503687202930450550e-01 3.134169797878712416e+01
7.816823890805244535e-01 9.740580938756465690e-01 6.971579032763838280e-01 4.679281223565340264e-02 3.930327726900577634e-01 2.879462020471692085e+01
8.805144354701042175e-01 9.505792220681905658e-01 6.408390326425432715e-01 5.139130171388387597e-02 2.803036011755466461e-01 2.527550643309950829e+01
8.905703617632388935e-01 9.864401166886090921e-01 6.913937521725892488e-01 5.709841955453157092e-02 3.641050231456756658e-01 2.578164026606827974e+01
7.915874095261097310e-01 9.280439855158328921e-01 6.500895120948553263e-01 4.233450230211019405e-02 3.113843655586242543e-01 3.023859713692218065e+01
7.511048528552055625e-01 9.615951422601938248e-01 7.015883148834108907e-01 5.097546692937612867e-02 2.740483774244785176e-01 3.460219557397067547e+01
8.522830298542976024e-01 9.425740134716034113e-01 6.377853524312376843e-01 4.587944436818361393e-02 3.217879153788089641e-01 2.311387068592011929e+01
8.333628740906715571e-01 9.761357701569796097e-01 6.683429853618144678e-01 4.819628249853849522e-02 3.474012950062752014e-01 2.423436969053000212e+01
7.743817505240440102e-01 9.595366671681404558e-01 6.720267754793166626e-01 5.373664800077676551e-02 2.596531835198402360e-01 2.775394122581928968e+01
8.126867301762104034e-01 9.906682565063238410e-01 6.187738797441124650e-01 4.486630085855722316e-02 2.970234660804271787e-01 3.241399841383099556e+01
8.738667406141757965e-01 9.346941559016704870e-01 7.199554784968494880e-01 5.948861908167600576e-02 3.897526209056377811e-01 2.186328774318099022e+01
8.719021569192410004e-01 9.785701122879981728e-01 6.835818901658058389e-01 5.162344034761190414e-02 2.481930203735828455e-01 2.297194411046802998e+01
8.108806101977825698e-01 9.569662404805422407e-01 6.572785951197147591e-01 4.656070221215486554e-02 3.560882551968097554e-01 3.492169120348989964e+01
7.713429009914398726e-01 9.934150747954845206e-01 7.235423009470105526e-01 5.518791366368532014e-02 3.987121742963791182e-01 2.990994634572416544e+01
8.301699858903884843e-01 9.324362053722143884e-01 6.147402817383408324e-01 4.041821833699942024e-02 2.858371168375015148e-01 2.592906011734157801e+01
8.540721100568771096e-01 9.888542975485324904e-01 6.461768209189175938e-01 4.304267589002847699e-02 3.002273999154567719e-01 2.142478786408901215e+01
7.530475091934204501e-01 9.254533987492323810e-01 6.948596677929163024e-01 5.764147531241178846e-02 3.731134723126888764e-01 3.243692073971033096e+01
