# $\sigma_8$ $n_\mathrm{s}$ $h$ $\Omega_\mathrm{b}$ $\Omega_\mathrm{m}$ $\zeta_\mathrm{UV}$
8.321351280309259302e-01 9.827173722092062969e-01 6.683630554176867022e-01 4.817867636207491533e-02 2.890160190911963412e-01 2.841053815558552742e+01
8.101298456139862658e-01 9.493884025201201338e-01 6.852708451993763106e-01 5.020761476170271936e-02 3.219890102373436092e-01 2.396135946735739708e+01
7.943595069706439471e-01 9.750891137909144524e-01 6.583441219091414887e-01 4.547679692219942782e-02 3.390305318750441166e-01 2.117636307608336210e+01
8.174146489113569558e-01 9.624320178501307721e-01 6.940008338898420170e-01 5.188027838889509857e-02 3.083474070720374494e-01 3.265690262895077467e+01
8.252128832846880035e-01 9.661328456666320452e-01 6.796613681487738701e-01 5.302885995145887460e-02 3.012087827568873943e-01 2.969047318212687969e+01
7.882087443828582618e-01 9.548291861809790060e-01 6.740605408869683179e-01 4.641993509877473389e-02 3.501468983164057192e-01 2.617868027649819851e+01
8.029207745440304356e-01 9.791751703400165541e-01 6.999930299803615030e-01 5.124836615372449500e-02 3.331209536205977373e-01 2.369048595894128084e+01
8.409770617879926968e-01 9.471996346026658742e-01 6.531428236499428053e-01 4.929621308382600708e-02 2.818929369088262193e-01 3.423341084737330675e+01
8.371766193270683276e-01 9.699634659126401548e-01 7.046109453760087682e-01 4.686990568686277142e-02 3.187814762910827771e-01 3.185423167422413826e+01
7.991772677809000358e-01 9.615796250853687610e-01 6.502680722050367956e-01 5.314288448628038536e-02 2.949334775304421896e-01 2.037323435768485069e+01
7.844833804167806734e-01 9.831698620043695103e-01 6.825214800968766315e-01 4.837645749088376884e-02 3.144076165940612455e-01 2.479513689409941435e+01
8.214236027248204008e-01 9.534578974287957198e-01 6.694279681131243276e-01 5.054058091986924489e-02 3.359657511871307900e-01 2.924477334599941969e+01
8.136290849991142382e-01 9.763361534126102637e-01 6.555865581877529102e-01 4.959120702456683294e-02 3.430887811558320788e-01 3.316334913484752178e+01
7.906304192043841494e-01 9.453526234146207852e-01 6.987359370090067134e-01 4.723408732835203405e-02 3.032756558062508767e-01 2.261996648274362087e+01
8.063900608628987721e-01 9.682156960725784023e-01 6.636132949203252807e-01 5.203574603322893427e-02 2.838171284936368277e-01 2.722125471103936434e+01
8.283309707105159791e-01 9.585602923262864783e-01 6.880137694239616408e-01 4.581879655729979156e-02 3.259201528199017206e-01 3.073350538033992052e+01
