# $a$ $x_\mathrm{HI}$ $\sigma_8$ $n_\mathrm{s}$ $h$ $\Omega_\mathrm{b}$ $\Omega_\mathrm{m}$ $\zeta_\mathrm{UV}$ $z_\mathrm{mid}$
2.749370e-02 9.997802e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
2.804357e-02 9.997802e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
2.860444e-02 9.997803e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
2.917653e-02 9.997803e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
2.976006e-02 9.997805e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
3.035526e-02 9.997806e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
3.096237e-02 9.997807e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
3.158162e-02 9.997807e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
3.221325e-02 9.997845e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
3.285751e-02 9.997845e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
3.351466e-02 9.997845e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
3.418496e-02 9.997846e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
3.486866e-02 9.997846e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
3.556603e-02 9.997848e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
3.627735e-02 9.997848e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
3.700290e-02 9.997849e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
3.774296e-02 9.997849e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
3.849782e-02 9.997849e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
3.926777e-02 9.997857e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
4.005313e-02 9.997811e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
4.085418e-02 9.997786e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
4.167127e-02 9.997749e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
4.250470e-02 9.997693e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
4.335479e-02 9.997613e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
4.422188e-02 9.997485e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
4.510632e-02 9.997319e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
