Complexity,Loss,Equation
1,0.011760742,"-2.1008291"
3,0.008762899,"(-1.7831471 - Om)"
4,0.00831245,"(-0.72604406 - exp(Om))"
5,0.006398605,"((s8 + Om) * -1.8531803)"
6,0.006252481,"((0.08950891 - s8) - exp(Om))"
7,0.004526763,"(((Om + s8) / -0.120006025) / Tv)"
8,0.004361904,"(((0.91431856 ^ zt) - s8) - exp(Om))"
9,0.0026260493,"((-0.835459 - Om) * (zt ^ (s8 / Tv)))"
11,0.0012934433,"((-0.8806062 - Om) * ((zt ^ (s8 / Tv)) * ns))"
13,0.0008076043,"((((Ob ^ h) - ns) - Om) * (zt ^ (s8 / Tv)))"
15,0.0004941076,"(((Ob ^ h) - (ns + Om)) * (log(zt) ^ (exp(s8) / Tv)))"
16,0.0004941075,"(((Ob ^ h) - (ns + Om)) * (log(zt) ^ exp(s8 - log(Tv))))"
17,0.00038203227,"(((Ob ^ h) - (ns + Om)) * (log(zt + s8) ^ (exp(s8) / Tv)))"
18,0.00038030904,"(((Ob ^ h) - (ns + Om)) * (log(zt - log(Om)) ^ (exp(s8) / Tv)))"
19,0.00028724934,"(((((Ob ^ h) - ns) - Om) * (log(zt + zt) ^ (exp(s8) / Tv))) * 0.912239)"
20,0.0002761318,"(((-1.385614 - ((((log(zt) ^ s8) / (Tv - h)) + Om) ^ 1.7119669)) + (Ob * Tv)) * ns)"
21,0.00025635006,"(((0.33156946 - exp((((log(zt) ^ s8) / (Tv - h)) + Om) ^ 0.6362618)) + (Ob * Tv)) * ns)"
22,0.00021775858,"((-0.5921702 - (((((log(zt + 6.0032573) / (Tv - h)) * s8) + Om) * ns) * 1.6902184)) + (Ob * Tv))"
23,0.00021305552,"(((-1.385614 - ((((log(zt) ^ s8) / ((Tv - exp(h)) + 1.2897319)) + Om) ^ 1.7042476)) + (Ob * Tv)) * ns)"
24,0.00017612375,"((-0.5803267 - ((((log(zt + exp(exp(h))) / ((Tv - h) / s8)) + Om) * 1.6904839) * ns)) + (Ob * Tv))"
25,0.00016642404,"((-0.5759219 - ((((log(zt + 7.3982024) / (((Tv - exp(h)) + 1.2963293) / s8)) + Om) * 1.6951933) * ns)) + (Ob * Tv))"
26,0.00015818531,"(((-0.5740352 - (((log(zt + exp(exp(h))) / ((Tv - h) / s8)) + Om) * 1.6951871)) + (Ob * Tv)) * (ns ^ s8))"
27,0.00014870324,"(((-0.574031 - (((log(zt + 7.3982024) / (((Tv - exp(h)) + 1.2963293) / s8)) + Om) * 1.6951933)) + (Ob * Tv)) * (ns ^ s8))"
28,0.00013942397,"((((-0.2324497 - (((log(zt + exp(exp(h / s8))) / ((Tv - h) / s8)) + Om) * 1.7531992)) + (Ob * Tv)) * ns) + -0.25542954)"
29,0.00013152123,"((((-0.27908352 - (((log((zt + exp((h / s8) / 0.4059734)) ^ s8) / (Tv - h)) + Om) * 1.7413669)) + (Ob * Tv)) * ns) + -0.24490793)"
31,0.0001315096,"((((-0.27911142 - ((((log((zt + exp((h / 0.40596318) / s8)) ^ s8) / (Tv - h)) + Om) ^ 0.99931586) * 1.741398)) + (Ob * Tv)) * ns) + -0.24493827)"
32,0.0001266076,"((((-0.2964094 - (((log(zt + exp(exp((h ^ (E0 ^ 0.056155503)) / s8))) / ((Tv - h) / s8)) + Om) * 1.7174199)) + (Ob * Tv)) * ns) + -0.25560182)"
33,9.983922e-5,"((((-0.2864848 - ((((log(zt + exp(h / (((s8 * 0.3845004) ^ 0.024217097) ^ LX))) / (Tv - h)) * s8) + Om) * 1.7370436)) + (Ob * Tv)) * ns) + -0.23929398)"
35,9.8749995e-5,"((((-0.2800162 - ((((log(zt + (exp(h / (((s8 * 0.38450012) ^ 0.024597004) ^ LX)) - 0.26444086)) / (Tv - h)) * s8) + Om) * 1.7368726)) + (Ob * Tv)) * ns) + -0.24519022)"
37,8.283157e-5,"((((-0.2864848 - ((((log(zt + exp(h / (((((s8 * 0.3826488) ^ 0.024589863) ^ 0.024589863) ^ LX) ^ LX))) / (Tv - h)) * s8) + Om) * 1.7368789)) + (Ob * Tv)) * ns) + -0.2386555)"
39,8.220409e-5,"((((-0.27595904 - ((((log(zt + (exp(h / (((((s8 * 0.38137108) ^ 0.02710672) ^ 0.022479309) ^ LX) ^ LX)) - h)) / (Tv - h)) * s8) + Om) * 1.7443066)) + (Ob * Tv)) * ns) + -0.2458657)"
41,7.5618475e-5,"((((-0.28649154 - ((((log(zt + exp(h / (((((s8 * 0.38458103) ^ 0.024420958) ^ 0.024420958) ^ LX) ^ LX))) / (Tv - h)) * s8) + Om) * 1.7368721)) + (Ob * (Tv - (LX / E0)))) * ns) + -0.23867992)"
42,7.089317e-5,"((((-0.2868444 - ((((log(zt + exp(h / (((((s8 * 0.38442636) ^ 0.024410032) ^ 0.024410073) ^ LX) ^ LX))) / (Tv - h)) * s8) + Om) * 1.7372589)) + (Ob * (Tv / exp(0.991532 ^ E0)))) * ns) + -0.23902933)"
43,6.8554145e-5,"((((-0.28649154 - ((((log(zt + exp(h / (((((s8 * 0.38458103) ^ 0.024420958) ^ 0.024420958) ^ LX) ^ LX))) / (Tv - h)) * s8) + Om) * 1.7368721)) + (Ob * (Tv - (0.99012977 ^ (E0 * 0.41700408))))) * ns) + -0.23867992)"
45,6.7016204e-5,"((((-0.2865078 - ((((log((zt + exp(h / (((((s8 * 0.3826488) ^ 0.02458457) ^ 0.02458457) ^ LX) ^ LX))) + -0.40855503) / (Tv - h)) * s8) + Om) * 1.7368789)) + (Ob * (Tv - (0.9901233 ^ (E0 * 0.38334608))))) * ns) + -0.2386555)"
