Complexity,Loss,Equation
1,0.35394442,"7.4216413"
3,0.13565245,"(zt ^ 0.60453063)"
4,0.09500499,"exp(zt ^ 0.21013923)"
5,0.07118581,"((zt / Ob) ^ 0.3176905)"
6,0.054587748,"exp(zt ^ (0.25968635 - Ob))"
7,0.054146405,"((zt * Tv) ^ (0.46632725 - Ob))"
8,0.037709367,"(log(zt / h) ^ (Ob ^ -0.141874))"
10,0.0353776,"(log(zt / h) ^ ((Ob * ns) ^ -0.14007416))"
12,0.031070711,"(log(zt / h) ^ ((Ob / (0.6139186 + Om)) ^ -0.14529555))"
14,0.028377516,"(((log(zt / h) ^ (Ob ^ -0.144902)) - s8) + (Om / 0.47054416))"
15,0.02642684,"(((zt / ((E0 ^ Ob) - Om)) ^ (0.5834381 - Ob)) + (h ^ -1.4343363))"
16,0.026119752,"((((log((zt / h) / ns) ^ (Ob ^ -0.14315931)) + Om) + Om) - s8)"
17,0.024400981,"((((zt / ns) / ((E0 ^ Ob) - Om)) ^ (0.5779028 - Ob)) + (h ^ -1.4148566))"
18,0.023512442,"(((zt / ((exp(s8 / Om) * E0) ^ Ob)) ^ (0.64596367 - Ob)) + (h ^ -1.652524))"
19,0.022070155,"((((zt / ((E0 ^ Ob) - (Om ^ s8))) ^ (0.58272123 - Ob)) - Om) + (h ^ -1.5764534))"
20,0.021172503,"(((zt / ((exp(s8 / Om) * E0) ^ Ob)) ^ (0.6447906 - Ob)) + ((h * ns) ^ -1.5279051))"
21,0.01983239,"((((zt / (((E0 ^ Ob) - (Om ^ s8)) * ns)) ^ (0.57660806 - Ob)) - Om) + (h ^ -1.5761817))"
22,0.019363537,"(((zt / ((exp(s8 / Om) * E0) ^ Ob)) ^ (0.64431465 - Ob)) + (((h * ns) ^ Tv) ^ -0.34139463))"
23,0.01805259,"((((zt / (((E0 ^ Ob) - (Om ^ s8)) * ns)) ^ (0.576754 - Ob)) - Om) + (h ^ (Tv * -0.34940016)))"
25,0.017899618,"(((zt / ((exp(exp((s8 / Om) ^ 0.8822461) / Tv) * E0) ^ Ob)) ^ (0.64108855 - Ob)) + ((h * ns) ^ -1.546731))"
26,0.017144259,"(log(exp((zt / (((exp(1.2878442 / Om) * E0) ^ Ob) * ns)) ^ (0.6419898 - Ob)) / s8) + ((h ^ -0.35912415) ^ Tv))"
28,0.016701082,"(log(exp(((zt / ((exp(h / (Om - 0.09816994)) * E0) ^ Ob)) / ns) ^ (0.63855755 - Ob)) / s8) + ((h ^ -0.32975605) ^ Tv))"
29,0.016355341,"(log(exp(((zt / ns) / ((exp(0.993139 / Om) * E0) ^ Ob)) ^ (0.638534 - Ob)) / s8) + (((h ^ -0.024792386) ^ log(Tv)) ^ LX))"
30,0.01628567,"(log((exp(((zt / ns) / ((exp(0.7055972 / (Om - 0.08364787)) * E0) ^ Ob)) ^ (0.6335144 - Ob)) / s8) - 7.8492517) + (h ^ (Tv * -0.36029252)))"
31,0.015205746,"(log(exp(((zt / ns) / ((exp(h / (Om - 0.09776705)) * E0) ^ Ob)) ^ (0.638534 - Ob)) / s8) + (((h ^ -0.02465295) ^ log(Tv)) ^ LX))"
33,0.01295236,"(log(exp(((zt / ((exp(0.993139 / Om) * E0) ^ Ob)) / ns) ^ (0.63960505 - Ob)) / s8) + ((h ^ (exp(0.11904377 * LX) * -0.03048096)) ^ log(log(Tv))))"
35,0.011653353,"(log(exp(((zt / ((exp(h / (Om - 0.09768408)) * E0) ^ Ob)) / ns) ^ (0.6401096 - Ob)) / s8) + ((h ^ (exp(0.11827582 * LX) * -0.031208752)) ^ log(log(Tv))))"
37,0.011463841,"(log(exp(((zt / ns) / ((exp(h / (Om - 0.099488586)) * (E0 - LX)) ^ Ob)) ^ (0.64073473 - Ob)) / s8) + ((h ^ (exp(0.12108738 * LX) * -0.027427131)) ^ log(log(Tv))))"
38,0.011217338,"(log(exp(((zt / ns) / ((exp(h / (Om - 0.0977625)) * (E0 - exp(Tv))) ^ Ob)) ^ (0.63960505 - Ob)) / s8) + ((h ^ (exp(0.122771926 * LX) * -0.0256301)) ^ log(log(Tv))))"
39,0.010893515,"(log(exp(((zt / ns) / ((exp(h / (Om - 0.10254479)) * (E0 - (Tv * LX))) ^ Ob)) ^ (0.636778 - Ob)) / s8) + ((h ^ (exp(0.10706228 * LX) * -0.049344894)) ^ log(log(Tv))))"
40,0.010605737,"(log(exp(((zt / ns) / ((exp(h / (Om - 0.09894931)) * (E0 - exp(0.13096282 * LX))) ^ Ob)) ^ (0.63917047 - Ob)) / s8) + ((h ^ (exp(0.12285972 * LX) * -0.02488885)) ^ log(log(Tv))))"
