Complexity,Loss,Equation
1,0.0064869965,"-2.0982044"
3,0.0045180963,"(-1.2774426 - s8)"
5,0.002255671,"(-0.9534004 - (s8 + Om))"
6,0.002237435,"(log(0.13901643 / s8) - Om)"
7,0.00089686876,"(((-1.0251125 - s8) * ns) - Om)"
8,0.0008211046,"((Ob - (exp(Om) * ns)) - s8)"
9,0.00028445455,"((-0.9604087 - s8) * ((Om * h) + ns))"
11,0.000119507895,"((-1.0389123 - s8) * (((Om * h) - Ob) + ns))"
12,0.00011106419,"((-1.033806 - s8) * ((Om * h) + (ns / exp(Ob))))"
13,0.00010307559,"((-1.0325618 - s8) * (((Om * h) - Ob) + (ns ^ 0.8971835)))"
14,9.953912e-5,"(((-1.0255058 - s8) * ((Om / (0.92960286 / h)) + ns)) / exp(Ob))"
15,9.766498e-5,"((((-1.0473988 - s8) + Ob) * ((Om * h) + (ns ^ 0.91387475))) + Ob)"
16,9.55566e-5,"(((-1.0264103 - s8) * ((h / (0.9411205 / Om)) + ns)) / (exp(Ob) ^ ns))"
17,8.078289e-5,"(((-1.0490528 - s8) * (((Om - Ob) * h) + (ns ^ (0.5940987 / h)))) + Ob)"
19,7.906088e-5,"(((-1.0490918 - s8) * (((Om - Ob) * h) + (ns ^ ((0.64446527 - Ob) / h)))) + Ob)"
20,7.900291e-5,"(((-1.0490949 - s8) * (((Om - Ob) * h) + (ns ^ ((1.6457869 - exp(Ob)) / h)))) + Ob)"
21,7.758634e-5,"(((-1.0491201 - s8) * (((Om - Ob) * h) + (ns ^ (((0.5859696 ^ s8) - Ob) / h)))) + Ob)"
22,7.7185476e-5,"(((-1.049135 - s8) * (((Om - Ob) * h) + (ns ^ ((0.7087341 - (Ob * exp(s8))) / h)))) + Ob)"
23,7.695516e-5,"(((-1.0491521 - s8) * (((Om - Ob) * h) + (ns ^ ((((0.6421442 ^ s8) - Ob) - Ob) / h)))) + Ob)"
24,7.453621e-5,"((((((Ob / s8) ^ h) + (-0.11372134 / ((Ob + ns) ^ ((h + -0.76949507) / Ob)))) - ns) * exp(Om)) - s8)"
25,5.9527367e-5,"(((((Ob ^ h) + ((-0.11925178 * s8) / ((ns * 1.0356371) ^ ((log(h) / Ob) + 6.082818)))) - ns) * exp(Om)) - s8)"
27,5.415544e-5,"(((((Ob ^ h) + (-0.118975304 / ((((ns + -0.3362399) * 1.591861) ^ ((log(h) / Ob) + 6.789797)) / s8))) - ns) * exp(Om)) - s8)"
29,5.3281376e-5,"(((((Ob ^ h) + (-0.1190156 / ((((ns + (0.043111525 * s8)) ^ 1.6389434) ^ ((log(h) / Ob) + 6.790181)) / s8))) - ns) * exp(Om)) - s8)"
31,5.0512168e-5,"(((((Ob ^ h) + (-0.11913533 / ((((ns + (0.07009187 * (s8 - Om))) ^ 1.6123222) ^ ((log(h) / Ob) + 6.790253)) / s8))) - ns) * exp(Om)) - s8)"
