Complexity,Loss,Equation
1,0.37794885,"7.62781"
3,0.17831086,"(zt ^ 0.6126268)"
4,0.12338859,"exp(zt ^ 0.21412604)"
5,0.0628517,"((zt / Ob) ^ 0.32214978)"
6,0.051112227,"exp(zt ^ (0.2639345 - Ob))"
7,0.049999878,"(((zt / Ob) ^ 0.3353519) - h)"
8,0.021300912,"((log(zt) + Om) ^ (Ob ^ -0.15173206))"
9,0.02079417,"(((zt - (Om ^ -1.5069426)) / Ob) ^ 0.3348278)"
10,0.0096118115,"((log(zt) + Om) ^ ((Ob * h) ^ -0.1338855))"
11,0.009611806,"(log(zt * exp(Om)) ^ ((Ob * h) ^ -0.1338855))"
12,0.007481245,"((log(zt) + (Om ^ s8)) ^ ((Ob * h) ^ -0.12943953))"
13,0.0063498523,"log((4.26311 / (Ob / Om)) ^ (log(zt) - (h + Om)))"
14,0.00634985,"log((exp(1.4499979) / (Ob / Om)) ^ (log(zt) - (h + Om)))"
15,0.0038504275,"log(((3.9115524 / (Ob / Om)) ^ (log(zt) - (h + Om))) / s8)"
16,0.0038504244,"log(((exp(1.3639177) / (Ob / Om)) ^ (log(zt) - (h + Om))) / s8)"
17,0.0032694892,"log(((3.8429444 / (Ob / Om)) ^ (log(zt) - (h + Om))) / (s8 * ns))"
18,0.0032694885,"log(((exp(1.3462312) / (Ob / Om)) ^ (log(zt) - (h + Om))) / (s8 * ns))"
19,0.0029258933,"log(((3.8292975 / (Ob / Om)) ^ (log(zt) - ((h + (Om * ns)) ^ 1.1309212))) / s8)"
20,0.0029258826,"log(((exp(1.3426623) / (Ob / Om)) ^ (log(zt) - ((h + (Om * ns)) ^ 1.1311162))) / s8)"
21,0.0024774636,"log((((3.849778 / (Ob / Om)) ^ (log(zt) - ((h + Om) ^ (h / 0.6141539)))) / ns) / s8)"
22,0.0022957826,"log(((exp(1.345149) / (Ob / Om)) ^ (log(zt) - (((h + (Om * ns)) ^ 1.7039988) ^ h))) / s8)"
23,0.0021634926,"log((((3.8539522 / (Ob / Om)) ^ (log(zt) - (((h + Om) ^ (h + ns)) ^ h))) / ns) / s8)"
24,0.0018965506,"log(((exp(1.3478557) / (Ob / Om)) ^ (log(zt) - (((h + (Om * ns)) ^ (h / 0.39318886)) ^ h))) / s8)"
25,0.0017237365,"log(((exp(1.3478557) / (Ob / Om)) ^ (log(zt) - (((h + (Om * ns)) ^ (h * exp(ns))) ^ h))) / s8)"
26,0.0015372463,"log(((exp(1.350683) / (Ob / Om)) ^ (log(zt) - (((h + (Om * ns)) ^ (log(h) + ns)) ^ exp(h)))) / s8)"
28,0.0014323072,"log(((exp(1.3495045) / (Ob / Om)) ^ (log(zt) - (((h + (Om * ns)) ^ (log(h) + ns)) ^ exp(h + Ob)))) / s8)"
29,0.0013481115,"log(((exp(1.3480724) / (Ob / Om)) ^ (log(zt) - (((h + (ns * Om)) ^ ((log(h) + log(ns)) + 0.7448624)) ^ exp(1.3480724)))) / s8)"
30,0.001323868,"log(((exp(1.3512223) / (Ob / Om)) ^ (log(zt) - (((h + Om) ^ ((h + Om) + (ns ^ (0.6525158 / Ob)))) ^ h))) / (s8 * ns))"
31,0.0012855206,"log(((exp(1.349978) / (Ob / Om)) ^ (log(zt) - (((h + (Om * ns)) ^ ((log(h) + (log(ns) / h)) + ns)) ^ exp(s8)))) / s8)"
32,0.0012229672,"log((((exp(1.4195367) / (Ob / Om)) ^ (log(zt) - (((h + Om) ^ ((h + Om) + (ns ^ (0.74251145 / Ob)))) ^ h))) / (s8 * ns)) ^ 0.97946984)"
34,0.0011737371,"log(((exp(1.3528951) / (Ob / Om)) ^ (log(zt) - ((h + Om) ^ (s8 + ((((log(ns) * 1.8687779) + (0.5123063 + Ob)) + log(h)) / 0.31749225))))) / (s8 * ns))"
35,0.0011694987,"log(((exp(1.3528951) / (Ob / Om)) ^ (log(zt) - ((h + Om) ^ (s8 + ((((log(ns) * exp(h)) + (0.5123063 + Ob)) + log(h)) / 0.31749225))))) / (s8 * ns))"
36,0.0011518843,"log(((exp(1.3533132) / (Ob / Om)) ^ (log(zt) - ((h + Om) ^ ((s8 ^ s8) + ((((log(ns) / 0.4889815) + (0.50834936 + Ob)) + log(h)) / 0.31749576))))) / (s8 * ns))"
38,0.0011394803,"log((((exp(1.3528234) / (Ob / Om)) ^ (log(zt) - ((h + Om) ^ ((s8 ^ s8) + ((((log(ns) / 0.502261) + (0.5054994 + Ob)) + log(h)) / 0.31474692))))) / (s8 * ns)) - -3.9189577)"
39,0.0011384186,"log((((exp(1.3528234) / (Ob / Om)) ^ (log(zt) - ((h + Om) ^ ((s8 ^ s8) + ((((log(ns) / 0.5054994) + (0.5054994 + Ob)) + log(h)) / 0.31474692))))) / (s8 * ns)) + exp(1.7059013))"
40,0.0011312155,"log((((exp(1.3528234) / (Ob / Om)) ^ (log(zt) - ((h + Om) ^ ((s8 ^ s8) + ((((log(ns) / 0.50106037) + (0.5054994 + Ob)) + log(h)) / 0.31474692))))) / (s8 * ns)) + (Om / Ob))"
